Area,BHK,Bathroom,Furnishing,Parking,Price,Status,Transaction,Type
376.7365,1,1.0,2,1.0,3000000,1,2,2
1125.0,2,2.0,1,1.0,5000000,1,1,1
713.0,2,2.0,2,1.0,6000000,1,2,1
360.0,1,1.0,1,1.0,2500000,1,1,1
900.0,2,2.0,2,1.0,6500000,1,1,2
713.0,3,1.0,1,1.0,8000000,1,1,2
504.0,2,1.0,3,1.0,2700000,1,1,1
70.0,1,2.0,1,1.0,4500000,1,1,2
850.0,3,2.0,3,1.0,5700000,1,1,1
2430.0,4,3.0,3,1.0,25000000,1,1,1
2475.0,3,3.0,3,1.0,70000000,1,1,1
2970.0,7,4.0,3,1.0,26500000,1,1,1
2250.0,3,2.0,3,1.0,18500000,1,1,1
1500.0,5,3.0,3,1.0,30000000,1,1,1
1512.0,2,2.0,3,1.0,22000000,1,1,1
400.0,2,2.0,3,1.0,9000000,1,1,1
2160.0,3,3.0,3,1.0,65000000,1,1,1
630.0,3,2.0,3,1.0,22500000,1,1,1
324.0,6,3.0,3,1.0,8700000,1,1,1
720.0,6,5.0,3,1.0,22000000,1,1,1
675.0,4,2.0,3,2.0,18500000,1,1,1
700.0,2,1.0,3,2.0,16000000,1,2,1
675.0,4,3.0,3,2.0,16000000,1,1,1
720.0,4,2.0,3,2.0,9000000,1,1,1
850.0,2,2.0,3,1.0,4500000,1,1,1
801.0,3,2.0,2,1.0,6000000,1,2,1
450.0,1,2.0,1,1.0,2700000,1,1,1
1000.0,3,2.0,1,1.0,6500000,1,1,2
990.0,3,2.0,1,1.0,4000000,1,1,2
420.0,2,1.0,2,1.0,2600000,1,2,1
450.0,2,1.0,2,1.0,3500000,1,1,1
1000.0,2,2.0,1,1.0,7500000,1,1,2
900.0,3,2.0,2,1.0,7000000,1,1,1
800.0,3,2.0,2,1.0,4500000,1,2,1
720.0,3,3.0,2,2.0,5500000,1,1,1
450.0,2,1.0,2,2.0,2700000,1,2,1
675.0,2,2.0,3,2.0,2400000,1,1,1
1700.0,4,3.0,1,2.0,11500000,1,2,1
550.0,2,2.0,1,2.0,3600000,1,2,1
387.0,1,2.0,1,2.0,1700000,1,2,1
450.0,2,1.0,1,2.0,2500000,1,1,2
900.0,4,2.0,3,1.0,6600000,1,1,1
500.0,2,1.0,2,1.0,3700000,1,1,1
441.0,2,1.0,1,1.0,3500000,1,1,2
800.0,3,2.0,2,1.0,5400000,1,1,1
450.0,2,2.0,2,1.0,2550000,1,2,1
1000.0,3,3.0,3,1.0,12500000,1,1,1
715.0,2,2.0,1,1.0,5600000,1,1,2
600.0,2,2.0,1,1.0,7000000,1,1,1
540.0,2,1.0,1,1.0,3500000,1,1,1
312.0,4,4.0,3,1.0,35000000,1,1,2
810.0,3,2.0,2,1.0,9000000,1,1,1
270.0,1,1.0,2,1.0,2300000,1,1,1
900.0,3,2.0,2,1.0,6000000,1,1,1
1000.0,3,2.0,1,1.0,6000000,1,1,2
540.0,2,2.0,2,1.0,2650000,1,2,1
950.0,3,2.0,3,1.0,4370000,1,2,2
1000.0,3,2.0,1,1.0,4620000,1,2,2
540.0,2,2.0,2,1.0,3000000,1,2,2
540.0,2,2.0,2,1.0,3300000,1,2,2
1000.0,3,2.0,2,1.0,5510000,2,2,1
500.0,2,2.0,2,1.0,3200000,1,2,1
540.0,2,2.0,2,1.0,2600000,1,2,1
780.0,3,2.0,2,1.0,4000000,1,2,1
450.0,2,1.0,2,1.0,1850000,1,2,1
360.0,1,1.0,2,1.0,1700000,1,2,1
900.0,3,2.0,2,1.0,2800000,1,2,1
495.0,2,2.0,2,1.0,2150000,1,2,1
1200.0,4,3.0,2,1.0,6800000,1,2,1
1000.0,3,2.0,2,1.0,6200000,1,2,1
620.0,2,2.0,2,1.0,3100000,1,2,1
680.0,3,2.0,2,1.0,3400000,1,2,1
805.0,2,2.0,1,1.0,4000000,1,1,1
729.0,2,2.0,2,1.0,4800000,1,1,1
540.0,2,2.0,2,1.0,2500000,1,2,1
360.0,1,1.0,2,1.0,2000000,1,2,1
550.0,2,2.0,2,1.0,1900000,1,2,1
1001.0,3,2.0,3,1.0,5800000,1,2,1
450.0,2,2.0,1,1.0,2900000,1,1,1
550.0,2,1.0,2,1.0,2000000,1,2,1
550.0,2,2.0,2,1.0,2600000,1,2,1
675.0,2,1.0,1,1.0,2900000,1,1,1
585.0,2,2.0,1,1.0,3200000,1,1,1
810.0,3,2.0,2,1.0,5400000,1,1,1
765.0,3,2.0,2,1.0,3800000,1,1,1
4688.0,5,4.0,1,1.0,135000000,2,2,2
3901.0,4,4.0,1,1.0,93000000,2,2,2
70.0,2,3.0,3,1.0,8200000,1,2,1
800.0,3,2.0,1,1.0,8000000,1,1,1
900.0,3,2.0,2,1.0,9500000,1,1,1
1680.0,4,5.0,2,1.0,20000000,1,1,1
900.0,2,2.0,3,3.0,7400000,1,1,1
2000.0,3,3.0,2,1.0,37500000,1,1,2
2000.0,4,4.0,2,3.0,15000000,1,1,1
1900.0,3,3.0,2,1.0,55300000,2,2,2
1530.0,3,3.0,2,2.0,26500000,1,1,1
